round_epochs,loss,acc,first_neuron,second_neuron,activation,batch_size,epochs
100,0.5590979018608584,0.7489937843237146,60,10,<function tanh at 0x7f4e00baee18>,200,100
500,0.5164765741770144,0.7627759487007519,60,10,<function relu at 0x7f4e00baed90>,200,500
500,0.5364623543314416,0.7553360131996872,20,20,<function relu at 0x7f4e00baed90>,200,500
500,0.4729937476739024,0.7815587233517108,40,20,<function tanh at 0x7f4e00baee18>,100,500
200,0.5485145667658039,0.7500304951291503,40,10,<function tanh at 0x7f4e00baee18>,200,200
100,0.5576859617439737,0.7489937833495686,20,10,<function relu at 0x7f4e00baed90>,200,100
200,0.5503262831519502,0.749603613467751,20,10,<function tanh at 0x7f4e00baee18>,100,200
200,0.5404966431560276,0.7504573729593937,40,20,<function tanh at 0x7f4e00baee18>,100,200
100,0.5602172111749562,0.7490547624633492,40,20,<function tanh at 0x7f4e00baee18>,200,100
500,0.4984386901416958,0.7696060472791523,40,10,<function tanh at 0x7f4e00baee18>,100,500
100,0.5461753631949585,0.7517380197828376,60,10,<function relu at 0x7f4e00baed90>,200,100
500,0.5409109256720889,0.7512501544131783,20,10,<function tanh at 0x7f4e00baee18>,200,500
200,0.5319652870771783,0.7550920817252702,60,20,<function relu at 0x7f4e00baed90>,200,200
100,0.5504437980382584,0.7499085241068367,20,20,<function relu at 0x7f4e00baed90>,100,100
100,0.5410912394785331,0.7502134387733617,60,20,<function relu at 0x7f4e00baed90>,100,100
200,0.5324052077980358,0.7555189671087794,60,10,<function relu at 0x7f4e00baed90>,100,200
100,0.5570119242796681,0.7491157461207208,60,10,<function tanh at 0x7f4e00baee18>,100,100
500,0.5274080135885106,0.7593608960129457,40,10,<function relu at 0x7f4e00baed90>,200,500
200,0.552563603788865,0.7495426285745226,20,20,<function tanh at 0x7f4e00baee18>,100,200
200,0.5333460852211169,0.7555189661273638,40,20,<function relu at 0x7f4e00baed90>,100,200
200,0.5392738205512161,0.7521039153296913,40,10,<function tanh at 0x7f4e00baee18>,100,200
500,0.49178400063953803,0.7717404577161847,60,10,<function tanh at 0x7f4e00baee18>,200,500
200,0.5468538894364275,0.7502744246480058,60,10,<function tanh at 0x7f4e00baee18>,200,200
100,0.5608597983963853,0.7489937840765432,20,20,<function tanh at 0x7f4e00baee18>,200,100
500,0.49838305348767814,0.7710696386627954,60,20,<function relu at 0x7f4e00baed90>,100,500
200,0.5508760855988564,0.7497865588203525,40,20,<function tanh at 0x7f4e00baee18>,200,200
200,0.5473378437192633,0.7499695097197701,20,20,<function relu at 0x7f4e00baed90>,200,200
100,0.5490125366675735,0.7499695063320685,20,20,<function relu at 0x7f4e00baed90>,200,100
500,0.4278954239549659,0.804549330334094,60,20,<function tanh at 0x7f4e00baee18>,100,500
200,0.5569133941597117,0.7492377116834554,20,20,<function tanh at 0x7f4e00baee18>,200,200
100,0.5491804217024393,0.751494084295521,40,10,<function relu at 0x7f4e00baed90>,100,100
100,0.5520962994699726,0.7502134411869172,40,10,<function relu at 0x7f4e00baed90>,200,100
