,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,spotify_id
"('Angel Eyes', 'Roxy Music')",0.031,0.678,171227,0.803,0.00237,5,0.0613,-7.689,1,0.0402,132.159,4,0.863,2buRmJYRPpGeSjDeHLAMjS
"('Phantasmagoria', 'Cathedral')",6.72e-05,0.269,524133,0.851,0.0397,7,0.0402,-7.127,1,0.057,136.514,4,0.174,70VzwD84JWVvKxiGj5WgSb
"('Wine Red', 'The Hush Sound')",0.000103,0.692,207653,0.934,0.000845,0,0.0601,-6.067,0,0.0346,127.993,4,0.824,65iST2TrtQvGheEct32vBy
"('Sweetest Goodbye', 'Maroon 5')",0.167,0.566,270733,0.819,0,1,0.187,-5.951,1,0.104,164.004,4,0.708,44R3zk8n5b3g5fTEXCkwnW
"('Games Without Frontiers', 'Peter Gabriel')",0.385,0.744,246667,0.726,1.38e-05,6,0.156,-9.553,1,0.0553,96.039,4,0.933,4TVnzZW8dIPjMjg5e8gKhH
"('Die Zeit Heilt Alle Wunder', 'Wir Sind Helden')",0.396,0.662,249867,0.571,0,9,0.151,-6.761,1,0.0254,93.004,4,0.613,3PcyKitFzPFFavugrrmvH5
"('River', 'Joni Mitchell')",0.979,0.405,245040,0.152,9.07e-05,0,0.104,-13.901,1,0.0395,61.34,4,0.383,0DAmSYQW9kq9gQNDI002KP
"('Take It Or Leave It', 'The Strokes')",0.000959,0.43,196067,0.913,0.369,2,0.137,-6.203,0,0.0389,154.066,4,0.481,0seTertVGvHrEJu7hlIWRq
"('Life Of Pain', 'Black Flag')",0.296,0.188,170467,0.807,0.984,9,0.946,-14.537,1,0.109,109.682,4,0.285,1NYiFG8cdKEVDO0ZowYi3j
"('What If?', 'Coldplay')",0.314,0.304,298520,0.502,0.00113,6,0.138,-6.704,0,0.035,136.744,4,0.193,39qRdHcl2tizWbzlM9kUlN
"('Who Do You Love', 'Townes Van Zandt')",0.814,0.702,224720,0.44,0.00625,6,0.272,-15.87,1,0.193,85.769,4,0.365,1YLBIxOIFyiA3xnCYaGwgw
"(""It Ain'T Your Sign, It'S Your Mind"", 'Roy Ayers')",0.274,0.622,208600,0.745,0.167,5,0.0929,-12.567,1,0.0738,124.32,4,0.74,0A3y0jaKW9CX8NYt8CBN7b
"('The North Pole', 'The Walkmen')",0.000251,0.105,221518,0.961,0.00044,11,0.069,-3.93,0,0.183,204.313,4,0.41,0YUlzRed9RuUh7g5aeUdZG
"('Just Stop', 'Disturbed')",2.94e-05,0.593,223453,0.927,0.132,1,0.118,-3.533,1,0.0795,101.906,4,0.432,3WiXCGEioBloorG63T3dSF
"('No Communication', 'Bingoboys')",0.335,0.848,272133,0.798,8.33e-06,0,0.175,-6.514,0,0.0371,118.024,4,0.971,6zhJJGScJalt4jiyhWqWda
"('Michelle (Again)', 'Local H')",0.0491,0.327,166547,0.819,0,1,0.535,-5.656,1,0.0735,151.621,4,0.623,16LGThQPOJV2cwp8feObBG
"('Souwedi Na Wengue', 'Richard Bona')",0.796,0.831,215600,0.396,0.00016,7,0.113,-14.51,1,0.0506,122.942,4,0.756,5qFCBmwHhcoW9rvMBLWDw6
"('Arnold Layne', 'Pink Floyd')",0.232,0.307,176867,0.49,9.81e-06,2,0.0887,-9.329,1,0.0304,132.644,4,0.206,2Dsy7Ls7OuvG1fpjrKI5AE
"('Tsukemono', 'Medeski Martin And Wood')",0.631,0.387,203500,0.597,0.914,11,0.37,-9.659,0,0.0772,81.633,4,0.434,7FcWfsB4SIVMMItnJHq1qk
"('Whose Side Are You On', 'Matt Bianco')",0.176,0.576,224973,0.802,0.000592,0,0.0682,-6.455,0,0.0288,144.196,4,0.71,7CXGiQcIUqSOTGu81RI9Db
"('Ruido', 'Murcof')",0.976,0.165,132133,0.0235,0.938,0,0.0839,-31.38,1,0.0374,63.913,3,0.0286,732QfOGP3JSQh6ByfHLzZe
"('In Joy And Sorrow', 'Him')",0.0251,0.5,240173,0.716,0.00326,7,0.235,-5.901,1,0.0277,113.895,4,0.166,0tbPihrz1pCQYMXVX6cfCo
"('23Rd Psalm', 'Buju Banton')",0.962,0.334,344560,0.292,2.92e-05,7,0.0857,-10.636,1,0.0352,115.137,4,0.371,0zgEjgMifZ9ySOmAtdzHQp
"('Burnt Reynolds', 'Crippled Black Phoenix')",0.041,0.228,630912,0.437,0.172,9,0.0785,-7.231,1,0.0341,111.859,4,0.0936,0vG5DNxI2DT6HehGbpdYuu
"('Into The Ocean', 'Blue October')",0.272,0.76,239947,0.616,0,0,0.147,-6.426,1,0.0333,108.032,4,0.363,2SiqlgLMfKQbczSMRp8drY
"('You Could Make Me Kill', 'Gorefest')",2.95e-05,0.418,345130,0.987,0.779,4,0.188,-2.242,0,0.126,91.961,4,0.0511,6xz8GwF5ilrfALnXRtxTMP
"('Kelian', 'Ken Ring')",0.0213,0.392,258960,0.742,4.98e-06,1,0.114,-7.731,1,0.334,90.099,4,0.403,4XqM4IWi5AmfHJivbtnDsK
"('Hey, Hey', 'Dispatch')",0.451,0.38,276280,0.53,0,4,0.383,-4.437,1,0.0388,101.333,4,0.383,1CPu7d0xuY8Vuhd160AXqU
"('Bruckheimer', 'Cinemechanica')",6.46e-05,0.386,171733,0.957,0.182,7,0.328,-5.148,1,0.238,125.354,4,0.337,0WI4S1SSiacE5qG6S9SZG0
"('A Shoulder To The Wheel', 'Bel Canto')",0.175,0.415,258080,0.492,0.0019,6,0.0797,-12.207,0,0.029,87.51,4,0.503,6fkSRj8oTXfiXHbprVB6PO
"('Sunflower', 'Sleepytime Gorilla Museum')",0.743,0.469,472813,0.0022,0.562,9,0.121,-24.601,1,0.0867,122.372,3,0.0453,47uw5Xg5lqIDh0JrrxqKRP
"('Ladies Night', 'Atomic Kitten')",0.0209,0.639,188107,0.955,0.00319,11,0.146,-2.797,1,0.0564,111.964,4,0.761,0ikoEl34hpTIsyqWiw7s5U
"('Andalucia', 'Yo La Tengo')",0.548,0.357,219933,0.15,0.68,2,0.162,-19.349,1,0.0327,97.192,4,0.379,6dopxqfH1cJwxU46K91bzc
"('Some Dispute Over T-Shirt Sales', 'Butthole Surfers')",0.0166,0.382,126200,0.984,1.17e-05,9,0.216,-6.959,1,0.0955,135.747,4,0.289,7FObPpGXeCp9AfWQvG2S5I
"('Bright Shining Star', 'Dry & Heavy')",0.799,0.82,92146,0.359,0.874,2,0.0974,-7.914,1,0.0562,145.97,4,0.477,3ml9GKgfaiYDV6OKKlsDQw
"('Beneath This Face', 'Esoteric')",8.35e-05,0.141,681467,0.551,0.797,0,0.207,-6.686,1,0.0645,103.523,4,0.0825,7FqWb2JnyKPDasrtNUrWBo
"('Accept The Pain', 'Paradise Lost')",2.92e-05,0.585,201760,0.89,0.166,8,0.12,-5.742,1,0.0397,127.038,4,0.312,6bCIupnLcvvR9wudrWgtDQ
"('Tudo Que Voce Podia Ser', 'Quarteto Em Cy')",0.389,0.549,151467,0.554,1.01e-05,3,0.27,-9.962,0,0.0603,101.847,4,0.491,00Oqzy5Au1WB68ikBZXy4U
"('Cry', 'The Birthday Party')",8.67e-05,0.379,162000,0.6,0.00636,0,0.188,-15.065,1,0.073,155.203,4,0.815,48bfc8Lnh762Zs25Hqp7NG
"('Lumi', 'Vladislav Delay')",0.992,0.503,323480,0.0941,0.958,8,0.0937,-17.028,1,0.112,67.695,4,0.0392,76c9P36jPT8ucx3bK7fbtk
"('Samson', 'Regina Spektor')",0.862,0.49,189507,0.193,9.74e-06,11,0.113,-9.544,1,0.0421,89.154,4,0.184,2bbhyUWJ5VjdfI3P4PRLu2
"('Sunrise', 'Pulp')",0.00483,0.258,356827,0.605,0.543,2,0.08,-5.943,1,0.0331,133.629,5,0.0447,3pte3bSLRJhDNq5FV3pK6F
"('Only Got One', 'Frou Frou')",0.714,0.503,249760,0.599,1.87e-06,2,0.0988,-8.812,1,0.0295,100.015,4,0.292,6xZZg6HNzxK4O6gOBZ9T2x
"('If You Were Gay', 'Rick Lyon; John Tartaglia')",0.823,0.641,301387,0.394,0,0,0.0614,-8.928,1,0.215,83.347,4,0.594,04HoKUqBvNGn1d2hzyOCK9
"('Tattered Banners And Bloody Flags', 'Amon Amarth')",2.04e-05,0.463,270067,0.951,0.329,2,0.13,-5.201,1,0.0625,102.52,4,0.306,1hk3KoGI5WlLbSvE3u88hR
"('A Time For Emily', 'The Elected')",0.00107,0.606,143373,0.564,0.038,4,0.155,-9.967,1,0.0359,172.029,4,0.523,2c5niA8vvrBEGAzD38JeAu
"('Hound Dog', 'Elvis Presley')",0.733,0.357,136027,0.756,0.00505,0,0.76,-8.492,1,0.0621,174.797,4,0.95,64Ny7djQ6rNJspquof2KoX
"('In The Flesh?', 'Pink Floyd')",0.416,0.294,198222,0.489,0.348,9,0.0537,-14.578,1,0.0399,152.115,3,0.268,24YmWQgunJGAU8El3ndkyn
"('Tomorrow Comes Today', 'Gorillaz')",0.0071,0.751,193600,0.596,0.57,6,0.103,-4.594,1,0.0302,93.213,4,0.561,3qdDjz9kOvquEFbvXBYOMQ
