song_artist,user_id,song,artist,playcount,user_total_plays,score,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,spotify_id,predictions
"('$$$$', 'Desaparecidos')",user_000691,$$$$,Desaparecidos,7,129327,5.412636185792603e-05,9.43e-05,0.27,204533.0,0.928,0.5820000000000001,11.0,0.66,-7.2189999999999985,1.0,0.141,114.832,4.0,0.198,746DBT6KQ0W3hh4Vy8L0Om,0.0002892284941606871
"('(All I Can Do Is) Dream You', 'Roy Orbison')",user_000691,(All I Can Do Is) Dream You,Roy Orbison,6,129327,4.639402444965089e-05,0.0322,0.535,218693.0,0.73,0.000279,9.0,0.185,-12.483,1.0,0.0365,153.783,4.0,0.6970000000000001,3K5qBAFO9tAyc5TNENxh2S,0.0003085228407577745
"('1970', 'Ennio Morricone')",user_000691,1970,Ennio Morricone,6,129327,4.639402444965089e-05,0.947,0.659,186333.0,0.18,0.867,9.0,0.0723,-15.140999999999998,0.0,0.0666,120.611,4.0,0.111,3OaMO6NcpWolOEtP4md0pR,0.00020914201639055108
"('1974', 'Robyn Hitchcock')",user_000691,1974,Robyn Hitchcock,6,129327,4.639402444965089e-05,0.0125,0.5710000000000001,266733.0,0.764,7.47e-06,2.0,0.118,-7.551,1.0,0.0386,105.92,4.0,0.354,6ah7S5qdxpEekvsCrsv7jN,0.00021097484227206031
"('2000 Light Years From Home', 'The Rolling Stones')",user_000691,2000 Light Years From Home,The Rolling Stones,7,129327,5.412636185792603e-05,0.00213,0.38,284893.0,0.6829999999999999,0.00543,4.0,0.16399999999999998,-11.890999999999998,1.0,0.044,122.214,4.0,0.262,4EPtqZQeTpMTAzFey8wCIa,0.00030033663706818814
"('2080', 'Yeasayer')",user_000691,2080,Yeasayer,7,129327,5.412636185792603e-05,0.301,0.498,323453.0,0.8029999999999999,0.00426,9.0,0.35,-6.932,1.0,0.0682,120.083,4.0,0.517,1jF7PygdhLDuKpi8lDEf01,0.0002241909860121183
"('3/5 Of A Mile In 10 Seconds', 'Jefferson Airplane')",user_000691,3/5 Of A Mile In 10 Seconds,Jefferson Airplane,6,129327,4.639402444965089e-05,0.13699999999999998,0.472,220187.0,0.815,5.06e-05,11.0,0.261,-9.725,0.0,0.0478,131.547,4.0,0.593,5uZD2015uZBis6B2VwRYUZ,5.276112579588599e-05
"('409', 'The Beach Boys')",user_000691,409,The Beach Boys,7,129327,5.412636185792603e-05,0.7490000000000001,0.459,120867.0,0.7,0.0,7.0,0.258,-4.751,1.0,0.0306,159.428,4.0,0.853,1gWj5OlKlZmBvtkYxluZux,0.0001328849048041203
"('50 Million Year Trip (Downside Up)', 'Kyuss')",user_000691,50 Million Year Trip (Downside Up),Kyuss,7,129327,5.412636185792603e-05,0.000173,0.201,349133.0,0.8370000000000001,0.898,5.0,0.187,-10.53,0.0,0.039,82.06700000000002,4.0,0.501,1rcdPPsFokyqj8KF51xCHV,0.00019837683148482554
"('911 Is A Joke', 'Public Enemy')",user_000691,911 Is A Joke,Public Enemy,6,129327,4.639402444965089e-05,0.0118,0.732,197267.0,0.7879999999999999,0.0,1.0,0.13699999999999998,-12.640999999999998,0.0,0.213,103.584,4.0,0.765,3iTrlBCVU1Cd1VkNDqKWWO,0.00010329817431520283
